"google_product_category","vehicle_fulfillment","VIN","id","store_code","image_link","additional_image_link","link_template","link","price","vehicle_msrp","condition","certified_pre-owned","brand","model","trim","year","mileage","color"
"916","in-store","3GCPAAED9RG204060","2136736034","","https://cdn.getauto.com/photos/3/156863/1s/3GCPAAED9RG204060-1s.jpg","https://cdn.getauto.com/photos/3/156863/2c/3GCPAAED9RG204060-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/3GCPAAED9RG204060-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/3GCPAAED9RG204060-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/3GCPAAED9RG204060-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/3GCPAAED9RG204060-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/3GCPAAED9RG204060-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/3GCPAAED9RG204060-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/3GCPAAED9RG204060-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/3GCPAAED9RG204060-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/3GCPAAED9RG204060-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/3GCPAAED9RG204060&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/3GCPAAED9RG204060","40475.00 USD","47975.00 USD","new","no","Chevrolet","Silverado 1500","Work Truck","2024","1 Miles","Black"
"916","in-store","1GCPDAEK1RZ210750","2136738514","","https://cdn.getauto.com/photos/3/156863/1s/1GCPDAEK1RZ210750-1s.jpg","https://cdn.getauto.com/photos/3/156863/2c/1GCPDAEK1RZ210750-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/1GCPDAEK1RZ210750-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/1GCPDAEK1RZ210750-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/1GCPDAEK1RZ210750-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/1GCPDAEK1RZ210750-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/1GCPDAEK1RZ210750-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/1GCPDAEK1RZ210750-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/1GCPDAEK1RZ210750-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/1GCPDAEK1RZ210750-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/1GCPDAEK1RZ210750-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/1GCPDAEK1RZ210750&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/1GCPDAEK1RZ210750","41045.00 USD","46795.00 USD","new","no","Chevrolet","Silverado 1500","Work Truck","2024","1 Miles","Summit White"
"916","in-store","3GCPAAEK7RG208736","2136913867","","https://cdn.getauto.com/photos/3/156863/1s/3GCPAAEK7RG208736-1s.jpg","https://cdn.getauto.com/photos/3/156863/2c/3GCPAAEK7RG208736-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/3GCPAAEK7RG208736-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/3GCPAAEK7RG208736-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/3GCPAAEK7RG208736-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/3GCPAAEK7RG208736-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/3GCPAAEK7RG208736-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/3GCPAAEK7RG208736-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/3GCPAAEK7RG208736-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/3GCPAAEK7RG208736-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/3GCPAAEK7RG208736-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/3GCPAAEK7RG208736&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/3GCPAAEK7RG208736","38845.00 USD","44595.00 USD","new","no","Chevrolet","Silverado 1500","Work Truck","2024","0 Miles","Summit White"
"916","in-store","1GCUDEE82RZ226647","2136925270","","https://cdn.getauto.com/photos/3/156863/1s/1GCUDEE82RZ226647-1s.jpg","https://cdn.getauto.com/photos/3/156863/2c/1GCUDEE82RZ226647-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/1GCUDEE82RZ226647-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/1GCUDEE82RZ226647-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/1GCUDEE82RZ226647-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/1GCUDEE82RZ226647-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/1GCUDEE82RZ226647-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/1GCUDEE82RZ226647-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/1GCUDEE82RZ226647-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/1GCUDEE82RZ226647-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/1GCUDEE82RZ226647-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/1GCUDEE82RZ226647&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/1GCUDEE82RZ226647","51810.00 USD","60310.00 USD","new","no","Chevrolet","Silverado 1500","RST","2024","0 Miles","Sterling Gray Metallic"
"916","in-store","1GCPDBEK9RZ230623","2136926010","","https://cdn.getauto.com/photos/3/156863/1s/1GCPDBEK9RZ230623-1s.jpg","https://cdn.getauto.com/photos/3/156863/2c/1GCPDBEK9RZ230623-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/1GCPDBEK9RZ230623-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/1GCPDBEK9RZ230623-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/1GCPDBEK9RZ230623-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/1GCPDBEK9RZ230623-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/1GCPDBEK9RZ230623-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/1GCPDBEK9RZ230623-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/1GCPDBEK9RZ230623-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/1GCPDBEK9RZ230623-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/1GCPDBEK9RZ230623-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/1GCPDBEK9RZ230623&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/1GCPDBEK9RZ230623","43340.00 USD","51090.00 USD","new","no","Chevrolet","Silverado 1500","Custom","2024","0 Miles","Summit White"
"916","in-store","1GCUDEED8RZ204665","2136961753","","https://cdn.getauto.com/photos/3/156863/1s/1GCUDEED8RZ204665-1s.jpg","https://cdn.getauto.com/photos/3/156863/2c/1GCUDEED8RZ204665-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/1GCUDEED8RZ204665-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/1GCUDEED8RZ204665-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/1GCUDEED8RZ204665-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/1GCUDEED8RZ204665-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/1GCUDEED8RZ204665-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/1GCUDEED8RZ204665-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/1GCUDEED8RZ204665-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/1GCUDEED8RZ204665-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/1GCUDEED8RZ204665-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/1GCUDEED8RZ204665&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/1GCUDEED8RZ204665","56825.00 USD","65325.00 USD","new","no","Chevrolet","Silverado 1500","RST","2024","3 Miles","Radiant Red Tintcoat"
"916","in-store","3GCPAAEK7RG223379","2136965016","","https://cdn.getauto.com/photos/3/156863/1s/3GCPAAEK7RG223379-1s.jpg","https://cdn.getauto.com/photos/3/156863/2c/3GCPAAEK7RG223379-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/3GCPAAEK7RG223379-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/3GCPAAEK7RG223379-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/3GCPAAEK7RG223379-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/3GCPAAEK7RG223379-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/3GCPAAEK7RG223379-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/3GCPAAEK7RG223379-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/3GCPAAEK7RG223379-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/3GCPAAEK7RG223379-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/3GCPAAEK7RG223379-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/3GCPAAEK7RG223379&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/3GCPAAEK7RG223379","37595.00 USD","43345.00 USD","new","no","Chevrolet","Silverado 1500","WT","2024","0 Miles","Black"
"916","in-store","3GCPAAED1RG218616","2136965050","","https://cdn.getauto.com/photos/3/156863/1c/3GCPAAED1RG218616-1c.jpg","https://cdn.getauto.com/photos/3/156863/2c/3GCPAAED1RG218616-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/3GCPAAED1RG218616-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/3GCPAAED1RG218616-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/3GCPAAED1RG218616-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/3GCPAAED1RG218616-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/3GCPAAED1RG218616-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/3GCPAAED1RG218616-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/3GCPAAED1RG218616-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/3GCPAAED1RG218616-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/3GCPAAED1RG218616-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/3GCPAAED1RG218616&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/3GCPAAED1RG218616","39780.00 USD","47280.00 USD","new","no","Chevrolet","Silverado 1500","WT","2024","1 Miles","Summit White"
"916","in-store","1C4JJXFM0PW582709","2137027961","","https://cdn.getauto.com/photos/3/156863/1s/1C4JJXFM0PW582709-1s.jpg","https://cdn.getauto.com/photos/3/156863/2c/1C4JJXFM0PW582709-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/1C4JJXFM0PW582709-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/1C4JJXFM0PW582709-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/1C4JJXFM0PW582709-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/1C4JJXFM0PW582709-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/1C4JJXFM0PW582709-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/1C4JJXFM0PW582709-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/1C4JJXFM0PW582709-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/1C4JJXFM0PW582709-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/1C4JJXFM0PW582709-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/1C4JJXFM0PW582709&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/1C4JJXFM0PW582709","48875.00 USD","","used","no","Jeep","Wrangler","Rubicon","2023","4355 Miles","Sarge Green Clearcoat"
"916","in-store","1FMCU9H9XNUA75020","2137045374","","https://cdn.getauto.com/photos/3/156863/1s/1FMCU9H9XNUA75020-1s.jpg","https://cdn.getauto.com/photos/3/156863/2c/1FMCU9H9XNUA75020-2c.jpg,https://cdn.getauto.com/photos/3/156863/3c/1FMCU9H9XNUA75020-3c.jpg,https://cdn.getauto.com/photos/3/156863/4c/1FMCU9H9XNUA75020-4c.jpg,https://cdn.getauto.com/photos/3/156863/5c/1FMCU9H9XNUA75020-5c.jpg,https://cdn.getauto.com/photos/3/156863/6c/1FMCU9H9XNUA75020-6c.jpg,https://cdn.getauto.com/photos/3/156863/7c/1FMCU9H9XNUA75020-7c.jpg,https://cdn.getauto.com/photos/3/156863/8c/1FMCU9H9XNUA75020-8c.jpg,https://cdn.getauto.com/photos/3/156863/9c/1FMCU9H9XNUA75020-9c.jpg,https://cdn.getauto.com/photos/3/156863/10c/1FMCU9H9XNUA75020-10c.jpg,https://cdn.getauto.com/photos/3/156863/11c/1FMCU9H9XNUA75020-11c.jpg","https://www.schmittchevrolet.com/VehicleDetails/1FMCU9H9XNUA75020&store={store_code}","https://www.schmittchevrolet.com/VehicleDetails/1FMCU9H9XNUA75020","24490.00 USD","","used","no","Ford","Escape","SEL","2022","10062 Miles","Black"
