DATE,TERMCBAUTO48NS
2013-08-01,4.46
2013-09-01,4.446666666666666
2013-10-01,4.433333333333334
2013-11-01,4.42
2013-12-01,4.3566666666666665
2014-01-01,4.293333333333334
2014-02-01,4.23
2014-03-01,4.32
2014-04-01,4.41
2014-05-01,4.5
2014-06-01,4.386666666666667
2014-07-01,4.273333333333333
2014-08-01,4.16
2014-09-01,4.126666666666667
2014-10-01,4.093333333333333
2014-11-01,4.06
2014-12-01,4.216666666666667
2015-01-01,4.373333333333333
2015-02-01,4.53
2015-03-01,4.403333333333333
2015-04-01,4.276666666666667
2015-05-01,4.15
2015-06-01,4.13
2015-07-01,4.11
2015-08-01,4.09
2015-09-01,4.06
2015-10-01,4.03
2015-11-01,4.0
2015-12-01,4.056666666666667
2016-01-01,4.113333333333333
2016-02-01,4.17
2016-03-01,4.223333333333334
2016-04-01,4.276666666666666
2016-05-01,4.33
2016-06-01,4.303333333333334
2016-07-01,4.276666666666666
2016-08-01,4.25
2016-09-01,4.316666666666666
2016-10-01,4.383333333333334
2016-11-01,4.45
2016-12-01,4.473333333333334
2017-01-01,4.496666666666666
2017-02-01,4.52
2017-03-01,4.569999999999999
2017-04-01,4.62
2017-05-01,4.67
2017-06-01,4.586666666666667
2017-07-01,4.503333333333333
2017-08-01,4.42
2017-09-01,4.55
2017-10-01,4.68
2017-11-01,4.81
2017-12-01,4.786666666666666
2018-01-01,4.763333333333334
2018-02-01,4.74
2018-03-01,4.843333333333334
2018-04-01,4.946666666666666
2018-05-01,5.05
2018-06-01,5.05
2018-07-01,5.05
2018-08-01,5.05
2018-09-01,5.13
2018-10-01,5.21
2018-11-01,5.29
2018-12-01,5.36
2019-01-01,5.43
2019-02-01,5.5
2019-03-01,5.45
2019-04-01,5.3999999999999995
2019-05-01,5.35
2019-06-01,5.323333333333333
2019-07-01,5.296666666666666
2019-08-01,5.27
2019-09-01,5.33
2019-10-01,5.39
2019-11-01,5.45
2019-12-01,5.3966666666666665
2020-01-01,5.343333333333334
2020-02-01,5.29
2020-03-01,5.236666666666666
2020-04-01,5.183333333333334
2020-05-01,5.13
2020-06-01,5.08
2020-07-01,5.03
2020-08-01,4.98
2020-09-01,4.970000000000001
2020-10-01,4.96
2020-11-01,4.95
2020-12-01,5.036666666666667
2021-01-01,5.123333333333333
2021-02-01,5.21
2021-03-01,5.233333333333333
2021-04-01,5.256666666666667
2021-05-01,5.28
2021-06-01,5.233333333333333
2021-07-01,5.1866666666666665
2021-08-01,5.14
2021-09-01,4.953333333333333
2021-10-01,4.766666666666667
2021-11-01,4.58
2021-12-01,4.676666666666667
2022-01-01,4.773333333333333
2022-02-01,4.87
2022-03-01,4.963333333333334
2022-04-01,5.056666666666667
2022-05-01,5.15
2022-06-01,5.273333333333333
2022-07-01,5.3966666666666665
2022-08-01,5.52
2022-09-01,5.993333333333333
2022-10-01,6.466666666666667
2022-11-01,6.94
2022-12-01,7.113333333333333
2023-01-01,7.286666666666667
2023-02-01,7.46
2023-03-01,7.503333333333333
2023-04-01,7.546666666666667
2023-05-01,7.59
2023-06-01,7.826666666666667
2023-07-01,8.063333333333334
2023-08-01,8.3
