SchoolID,StudentID,SchoolQuality,StudentGender,StudentAge,ExamScore
0,0,2.561318339104031,Female,15.178314681227357,61.971247984687004
0,1,2.561318339104031,Male,16.548217467435926,58.06788402786904
0,2,2.561318339104031,Female,15.809928648250114,65.20504968563914
0,3,2.561318339104031,Male,11.623108218930021,51.96563204714844
0,4,2.561318339104031,Female,14.484574115606424,53.00425135121296
0,5,2.561318339104031,Male,14.898084702257947,60.78463378078043
0,6,2.561318339104031,Female,16.764880844838935,57.78050823771763
0,7,2.561318339104031,Female,12.727477274923615,56.84626995137398
0,8,2.561318339104031,Female,13.659492281456878,72.68746411939517
0,9,2.561318339104031,Male,13.979634558816597,45.787519339429544
0,10,2.561318339104031,Female,15.29130996613113,69.18539364461333
0,11,2.561318339104031,Male,13.548753902641703,50.84900092551827
0,12,2.561318339104031,Male,16.602389535415615,38.60751220697708
0,13,2.561318339104031,Female,16.819631409071103,56.07542114411087
0,14,2.561318339104031,Male,16.71707820357383,45.178961222096504
0,15,2.561318339104031,Female,17.51760667306011,45.28620389937258
0,16,2.561318339104031,Male,15.717607319748625,73.56031027236438
0,17,2.561318339104031,Male,15.137606477633009,58.198395482647065
0,18,2.561318339104031,Female,15.063980215298692,56.435070146547865
0,19,2.561318339104031,Male,17.04637760584494,56.969694042770286
0,20,2.561318339104031,Male,16.649383358229485,48.76383536103794
0,21,2.561318339104031,Male,14.058398338353424,60.633948538311635
0,22,2.561318339104031,Male,14.806024770196247,43.09601726557384
0,23,2.561318339104031,Male,13.652190880811762,38.00339107182934
0,24,2.561318339104031,Male,17.89597157900454,42.48790158912842
0,25,2.561318339104031,Male,15.297909769583741,65.54073909269613
0,26,2.561318339104031,Male,14.781289121110031,45.4000980513501
0,27,2.561318339104031,Male,14.671328323232329,41.79951769879634
0,28,2.561318339104031,Female,17.64374665553788,57.22743475188125
0,29,2.561318339104031,Male,13.07664080015658,69.23670119786533
1,0,2.1894562517643963,Female,15.404740191721588,66.28398570103192
1,1,2.1894562517643963,Female,16.318047893798337,46.49285045671394
1,2,2.1894562517643963,Male,15.011949410474733,64.69216534292309
1,3,2.1894562517643963,Female,16.63285937866283,62.83772989222356
1,4,2.1894562517643963,Female,15.118467453960394,45.69742753725875
