,ar1,ar2
0,1.3942124390211186,0.8388079152657371
1,0.928165709683616,0.5532638911964372
2,1.2527881571090005,2.1295669490782987
3,1.6796494533367898,2.6469439843346594
4,1.8602219592687306,1.4607685366016625
5,1.6720121284455876,2.297167687623924
6,1.8507614427289134,2.113980960239382
7,2.074599195455498,3.8347009536974817
8,0.8435130601370677,2.093683092804635
9,-0.01747229469514444,2.9501768359710265
10,1.0784142411630926,3.337252324070082
11,-0.07864715387639087,4.992976243810099
12,-0.6823736942380239,5.119220965524063
13,0.47596680527785673,4.225700069466159
14,2.762645410225108,4.739738275684247
15,3.841010711727247,3.9161330581556255
16,4.475689096752763,5.1968632680096025
17,3.5063275275272545,5.35796031998187
18,2.4646807476054238,5.2887423235956605
19,2.9201181513221,4.231667265451868
20,3.0327177972741386,3.2658551495882855
21,3.613700357904921,4.107651167357823
22,4.877826474980717,4.471967893874371
23,2.257967266515611,4.377771553757398
24,1.184491900717331,4.241523184943794
25,1.6347720887647652,3.511248455714691
26,2.3713658563284765,2.703374145885871
27,2.822992279595663,2.8016129641738083
28,2.080253926556216,2.9227441875545663
29,2.3318777117627345,2.9548430929752176
30,3.3431382653394706,1.890520154038093
31,5.979764172983794,2.790118672238903
32,3.8768341877126176,2.4683665693152275
33,3.8090497607324028,2.5016899616320014
34,3.3149603922432433,1.4809888148287171
35,2.2143983725491205,2.234401656472987
36,1.6107866608988286,1.2372765592212356
37,2.5459011093500195,0.8984193374216863
38,2.1341003287465425,-0.42343629475350686
39,3.1596700107910247,-0.7907928279324814
40,4.988832499370369,1.472604911422849
41,4.159760057003571,0.7790137481234881
42,3.809871118556906,0.8783763274442098
43,3.436455230169975,1.1113696322054014
44,2.9000664983598896,1.6732844504289162
45,3.238247035419767,0.31011005995650787
46,2.8469591025948513,0.8903855965854273
47,2.9899134219601025,0.38021535386877103
48,2.4918645542398234,0.49246839435717343
49,3.6204835369829302,2.077661249376619
50,3.8953698335703777,0.9849584242789121
51,4.562630551550338,2.136522874025181
52,4.636177739543858,3.4162998984385355
53,3.6592705935816507,1.0641955611428642
54,4.025377718319682,2.1875155466718867
55,2.9761524282779,2.4134984243486683
56,3.0300734795864104,2.1031284463654334
57,2.9060252942522458,2.6853111329481
58,3.070247882495868,3.0000634278880556
59,4.344654521465916,3.572907618503436
60,3.77981780687517,2.8583761157904854
61,2.1287706740059233,1.9906861785567558
62,2.6315637222399046,1.7712951738424234
63,4.680836498073863,1.4322831384065164
64,3.909409133866367,1.3973549482766812
65,3.79293938321491,0.5036337419561951
66,2.947294481590108,2.0382728988579735
67,3.566939687773222,0.05598648846521259
68,4.750703683324593,-0.6028554505299832
69,3.838768950861042,1.6410726055987095
70,3.8664615791381203,0.8125873435842634
71,4.223834240040548,0.42860882972422587
72,4.430844043849006,0.44848258080886105
73,5.702644761764031,2.1595833819174817
74,5.359536536830875,2.702971046952908
75,6.075530042002865,2.4576723263585927
76,7.825328064543956,2.2831148465978246
77,6.184303350794115,1.908705355513576
78,4.566408408193254,0.48414309500450026
79,0.7397317655656903,0.728596279823647
80,2.7875814740115983,-0.05521003040012373
81,0.10349822664827135,0.4917127831044179
82,-0.7846559003669659,0.008772530266561662
83,-0.44464842709836283,0.5659473942117564
84,-0.084454449214736,-1.4223525816796712
85,1.2979273250744632,0.11810147654403877
86,0.6538591712583094,1.6317856021410095
87,-0.48611938349094075,4.530499904807366
88,-1.408071401879935,1.8233487675430857
89,-0.2558906224337474,0.9581709584388276
90,0.9448820317352808,2.1372387891934572
91,0.7620288336464908,2.2488826258562904
92,1.5381056122560435,2.985839013108471
93,1.0766218048447889,2.492335745943379
94,2.0492760780363426,0.943929954087527
95,0.02219084425643736,1.1441127759028995
96,0.6367184888967551,1.7038194769332689
97,2.2872163213770564,2.0292276915133183
98,5.072865226683813,2.762715790090619
99,4.270376548943948,1.40706368088009
